year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2013	mp	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE Info.	744	12.0	26.0	210	8.0	26.0	152	11.0	22.0	136	103	11.0	22.0	103
2013	mp	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE P&SI	832	15.0	36.0	163	11.0	29.0	100	14.0	18.0	90	81	17.0	18.0	81
2013	mp	BANQUE ENS	ENS Ulm MPI	1480	15.0	33.0	136	8.0	33.0	88	7.0	30.0	68	40	5.0	28.0	40
2013	mp	BANQUE ENS	ENS Ulm Info.	205	9.0	28.0	36	0.0	31.0	19	0.0	27.0	14	12	0.0	17.0	12
2013	mp	BANQUE ENS	ENS Cachan MP										198	18	5.0	39.0	18
2013	mp	BANQUE ENS	ENS Cachan-Ker Lan MP										202	1	0.0	0.0	1
2013	mp	BANQUE ENS	Concours ENS Cachan MP (options MP/MP, MP/MPI)	1519	16.0	33.0	259	7.0	37.0	202	9.0	36.0		19			19
2013	mp	BANQUE ENS	ENS Cachan Info.										71	16	0.0	25.0	16
2013	mp	BANQUE ENS	ENS Cachan-Ker Lan Info.										79	4	0.0	0.0	4
2013	mp	BANQUE ENS	Concours ENS Cachan Informatique	241	7.0	28.0	102	5.0	30.0	79	1.0	31.0		20			20
2013	mp	BANQUE ENS	ENS de Lyon MPI	1498	16.0	33.0	240	7.0	35.0	149	9.0	34.0	139	19	10.0	48.0	19
2013	mp	BANQUE ENS	ENS de Lyon Info.	275	10.0	32.0	116	7.0	33.0	77	5.0	30.0	74	28	7.0	50.0	28
2013	mp	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										216	44	13.0	19.0	46
2013	mp	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										1257	57	28.0	41.0	54
2013	mp	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										1307	37	16.0	30.0	42
2013	mp	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										403	54	27.0	23.0	57
2013	mp	CONCOURS COMMUN MINES-PONTS	SUPAERO (ISAE) Toulouse										753	54	11.0	23.0	50
2013	mp	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										790	54	25.0	38.0	53
2013	mp	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										690	50	24.0	34.0	50
2013	mp	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										870	18	11.0	50.0	19
2013	mp	CONCOURS COMMUN MINES-PONTS	TELECOM BRETAGNE										1600	66	19.0	25.0	60
2013	mp	CONCOURS COMMUN MINES-PONTS	ENSAE ParisTech										994	45	17.0	34.0	45
2013	mp	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts MP	5391	21.0	26.0	1720	15.0	29.0	1631	16.0	29.0		479			476
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	3325	18.0	29.0	761	14.0	27.0	451	13.0	26.0	370	137	12.0	30.0	142
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS-étr.	299	28.0	30.0	82	15.0	41.0	61	19.0	37.0	44	17	23.0	71.0	18
2013	mp	BANQUE CENTRALE-SUPELEC	SUPELEC	3085	19.0	30.0	1007	14.0	30.0	937	15.0	31.0	839	139	12.0	40.0	145
2013	mp	BANQUE CENTRALE-SUPELEC	SUPELEC-étr.	239	30.0	29.0	48	20.0	40.0	44	22.0	41.0	39	2	0.0	50.0	2
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	3662	19.0	29.0	1077	16.0	30.0	865	16.0	30.0	847	119	27.0	26.0	127
2013	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1761	23.0	33.0	999	24.0	33.0	833	24.0	33.0	832	38	36.0	24.0	40
2013	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-étr.	106	34.0	33.0	43	25.0	45.0	39	25.0	49.0	22	0	0.0	0.0	2
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	3319	21.0	30.0	982	18.0	35.0	921	17.0	36.0	836	85	17.0	42.0	90
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3620	21.0	30.0	1119	18.0	33.0	1041	17.0	34.0	1028	122	18.0	32.0	135
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2944	20.0	30.0	1245	18.0	30.0	1079	18.0	31.0	1075	44	15.0	25.0	80
2013	mp	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	567	16.0	36.0	211	13.0	49.0	81	14.0	66.0	78	25	8.0	72.0	25
2013	mp	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	1636	23.0	31.0	1232	22.0	30.0	446	23.0	26.0	444	45	22.0	18.0	60
2013	mp	BANQUE CENTRALE-SUPELEC	ENSIIE Evry										455	69	14.0	14.0	75
2013	mp	BANQUE CENTRALE-SUPELEC	ENSIIE Strasbourg										477	22	18.0	10.0	15
2013	mp	BANQUE CENTRALE-SUPELEC	ENSIIE	1588	21.0	30.0	1286	21.0	30.0	482	22.0	25.0		91			90
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS-CI										20	15	20.0	40.0	15
2013	mp	BANQUE CENTRALE-SUPELEC	SUPELEC-CI										27	3	33.0	67.0	3
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LYON-CI										29	3	33.0	67.0	3
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE-CI										37	3	33.0	34.0	3
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES-CI										44	3	0.0	0.0	3
2013	mp	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)-CI										44	0	0.0	0.0	3
2013	mp	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE-CI										49	2	0.0	50.0	2
2013	mp	BANQUE CENTRALE-SUPELEC	Cycle International Centrale-Supelec	469	28.0	17.0	100	20.0	24.0	55	20.0	28.0		29			32
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSMM Besançon										3757	19	15.0	48.0	41
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Electronique										2700	23	39.0	27.0	35
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Informatique										2619	49	10.0	21.0	50
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Mathématiques et Mécanique										2103	33	21.0	28.0	33
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSEIRB-MATMECA Bordeaux Télecom.										2516	31	22.0	33.0	28
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges Risques Industriels (MRI)										3760	16	12.0	32.0	25
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSI Bourges Informatique (STI)										3759	14	28.0	29.0	16
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Electronique et Physique Appliquée										3350	16	25.0	19.0	20
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSICAEN Informatique										3675	25	12.0	12.0	30
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	EISTI Cergy-Pau										3271	25	16.0	28.0	40
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ISIMA Clermont-Ferrand										3753	15	6.0	34.0	40
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP-ENSE3										1989	76	25.0	27.0	75
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP-ENSIMAG										992	115	16.0	44.0	115
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP-Esisar										3137	6	0.0	67.0	9
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP-Pagora										3103	8	50.0	13.0	11
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP-Phelma (Physique Electronique Télécoms)										1699	63	22.0	21.0	58
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	Grenoble INP-Phelma (Physique Matériaux Procédés)										1384	39	28.0	34.0	36
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	CPE LYON Electronique										3500	5	0.0	60.0	18
2013	mp	CONCOURS COMMUNS POLYTECHNIQUES	ENSEM Nancy Pluriscientifique										3423	35	22.0	38.0	35
