year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2021	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Ulm PSI	943	23,5%	19,2%	50	14,0%	16,0%	30	6,7%	13,3%	5	20,0%	0,0%	13	10	5
2021	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ECOLE POLYTECHNIQUE	897	20,2%	18,5%	115	15,7%	8,7%	66	19,7%	7,6%	57	15,8%	8,8%	32	32	57
2021	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Paris-Saclay	1238	23,3%	19,1%	363	18,7%	15,7%	297	18,5%	14,8%	37	18,9%	27,0%	142	164	37
2021	PSI	BANQUE ENS CACHAN/EC. POLYTECH	ENS Rennes	1129	23,1%	20,4%	361	20,8%	19,1%	306	19,3%	17,3%	5	20,0%	20,0%	265	240	5
2021	PSI	BANQUE CENTRALE-SUPELEC	CentraleSupélec - statut étudiant	2643	22,6%	15,9%	581	19,8%	11,4%	574	20,0%	11,3%	197	21,8%	10,2%	202	193	175
2021	PSI	BANQUE CENTRALE-SUPELEC	CentraleSupélec - statut étudiant - étr.	127	29,1%	17,3%	32	15,6%	28,1%	31	16,1%	29,0%	10	30,0%	50,0%	14	13	10
2021	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	3024	22,9%	16,5%	619	20,0%	11,6%	609	20,2%	11,5%	80	18,8%	11,2%	476	463	82
2021	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1325	25,4%	16,8%	556	22,5%	14,0%	531	23,0%	13,9%	20	30,0%	20,0%	421	436	28
2021	PSI	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - étr.	53	37,7%	11,3%	20	30,0%	10,0%	18	33,3%	11,1%	0	0,0%	0,0%	0	0	2
2021	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2978	23,8%	17,6%	846	21,7%	13,4%	829	21,8%	13,4%	63	23,8%	19,0%	581	564	60
2021	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	3090	23,5%	16,8%	597	20,6%	11,1%	590	20,7%	11,0%	81	21,0%	4,9%	486	469	75
2021	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2785	24,3%	16,9%	977	21,9%	14,4%	926	21,6%	14,5%	72	27,8%	23,6%	743	725	60
2021	PSI	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	515	20,0%	23,9%	76	10,5%	22,4%	72	9,7%	22,2%	0	0,0%	0,0%	0	0	3
