year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rang_du_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2017	PC	CONCOURS ECOLE POLYTECHNIQUE	ECOLE POLYTECHNIQUE	1193	30,2%	27,2%	262	24,4%	26,7%	159	24,5%	23,3%	153	130	22,3%	24,6%	130
2017	PC	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris	1344	31,4%	27,4%	464	29,1%	28,2%	378	29,4%	28,8%	301	56	33,9%	35,7%	55
2017	PC	CONCOURS ECOLE POLYTECHNIQUE	ESPCI Paris Etranger	68	26,5%	32,4%	20	20,0%	45,0%	15	20,0%	46,7%	15	1	0,0%	0,0%	2
2017	PC	BANQUE ENS	ENS Ulm	1137	28,2%	26,8%	104	24,0%	33,7%	63	25,4%	23,8%	40	18	27,8%	22,2%	18
2017	PC	BANQUE ENS	ENS Cachan Paris-Saclay PC	1254	29,3%	27,0%	285	27,4%	38,9%	159	30,2%	37,7%	148	19	15,8%	52,6%	19
2017	PC	BANQUE ENS	ENS de Lyon	1204	28,7%	26,4%	262	26,3%	35,1%	184	25,5%	34,2%	117	27	22,2%	37,0%	27
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS	2282	31,1%	23,9%	467	29,8%	23,8%	450	30,0%	23,6%	277	90	41,1%	27,8%	88
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS - étr.	101	36,6%	24,8%	39	25,6%	38,5%	39	25,6%	38,5%	20	7	14,3%	71,4%	6
2017	PC	BANQUE CENTRALE-SUPELEC	SUPELEC	2223	30,0%	24,5%	772	30,3%	26,0%	749	30,8%	25,9%	635	100	29,0%	39,0%	100
2017	PC	BANQUE CENTRALE-SUPELEC	SUPELEC - étr.	97	38,1%	23,7%	35	28,6%	37,1%	35	28,6%	37,1%	21	1	0,0%	100,0%	2
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE LYON	2654	31,7%	23,3%	639	31,5%	23,6%	613	31,6%	23,7%	474	58	31,0%	17,2%	62
2017	PC	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique)	1673	32,5%	26,4%	796	33,5%	26,4%	748	33,7%	26,7%	619	40	40,0%	42,5%	45
2017	PC	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - étr.	55	40,0%	20,0%	37	35,1%	24,3%	30	33,3%	30,0%	24	3	66,7%	66,7%	2
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE	2502	31,4%	24,1%	708	30,4%	26,8%	689	31,1%	26,9%	576	47	34,0%	27,7%	50
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES	2616	31,8%	23,2%	521	31,3%	25,1%	504	31,7%	25,4%	462	48	47,9%	16,7%	55
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE	2654	33,2%	22,6%	1188	33,1%	21,0%	1112	33,1%	21,3%	866	74	31,1%	21,6%	80
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE CASABLANCA	348	27,9%	29,3%	51	17,6%	45,1%	49	18,4%	46,9%	49	0	0,0%	0,0%	5
2017	PC	BANQUE CENTRALE-SUPELEC	ECOLE NAVALE Brest	413	24,9%	24,9%	165	26,7%	30,3%	71	22,5%	39,4%	51	18	11,1%	55,6%	18
2017	PC	BANQUE CENTRALE-SUPELEC	ENSEA Cergy	871	30,0%	22,4%	634	30,9%	19,7%	401	32,4%	17,0%	394	18	11,1%	27,8%	30
2017	PC	BANQUE CENTRALE-SUPELEC	Université de Technologie de Troyes (UTT)	438	32,0%	21,7%	113	34,5%	15,9%	99	33,3%	15,2%	97	0	0,0%	0,0%	15
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE PARIS - CI										1	1	0,0%	0,0%	5
2017	PC	BANQUE CENTRALE-SUPELEC	SUPELEC - CI										4	1	0,0%	0,0%	1
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE LYON - CI										2	1	0,0%	0,0%	1
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE LILLE - CI										0	0	0,0%	0,0%	1
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE NANTES - CI										3	1	100,0%	0,0%	5
2017	PC	BANQUE CENTRALE-SUPELEC	Institut d'optique Graduate School (SupOptique) - CI										10	1	0,0%	0,0%	2
2017	PC	BANQUE CENTRALE-SUPELEC	CENTRALE MARSEILLE - CI										5	1	100,0%	0,0%	2
2017	PC	BANQUE CENTRALE-SUPELEC	Cycle International Centrale-Supelec	23	39,1%	4,3%	16	25,0%	6,2%	15	26,7%	6,7%		6			17
2017	PC	CONCOURS COMMUN MINES-PONTS	MINES ParisTech										112	22	45,5%	9,1%	20
2017	PC	CONCOURS COMMUN MINES-PONTS	MINES de NANCY										723	41	26,8%	19,5%	37
2017	PC	CONCOURS COMMUN MINES-PONTS	MINES de SAINT-ETIENNE										842	40	35,0%	35,0%	40
2017	PC	CONCOURS COMMUN MINES-PONTS	PONTS ParisTech										269	33	24,2%	15,2%	35
2017	PC	CONCOURS COMMUN MINES-PONTS	ISAE - SUPAERO Toulouse										429	35	22,9%	17,1%	34
2017	PC	CONCOURS COMMUN MINES-PONTS	ENSTA ParisTech										436	33	48,5%	15,2%	33
2017	PC	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Paris										499	23	39,1%	34,8%	22
2017	PC	CONCOURS COMMUN MINES-PONTS	TELECOM ParisTech cursus Sophia										542	6	33,3%	50,0%	7
2017	PC	CONCOURS COMMUN MINES-PONTS	IMT Atlantique ex Télécom Bretagne cursus Brest-Rennes-Toulouse										981	23	30,4%	34,8%	20
2017	PC	CONCOURS COMMUN MINES-PONTS	IMT Atlantique ex Télécom Bretagne cursus Sophia										883	0	0,0%	0,0%	3
2017	PC	CONCOURS COMMUN MINES-PONTS	Concours Commun Mines Ponts PC	3335	31,9%	22,8%	1134	29,3%	25,8%	1106	29,7%	25,7%		256			251
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSC Bordeaux										2108	3	66,7%	0,0%	6
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSMM Besançon										2544	22	27,3%	31,8%	25
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Electronique										2012	14	7,1%	14,3%	13
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Informatique										1513	6	0,0%	66,7%	5
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Mathématiques et Mécanique										1617	11	18,2%	54,5%	11
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Bordeaux INP - ENSEIRB-MATMECA Télecom.										2109	7	28,6%	14,3%	8
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Electronique et Physique Appliquée										2601	10	10,0%	30,0%	15
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSICAEN Informatique										2444	6	0,0%	16,7%	8
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	EISTI Cergy - Pau										3239	12	16,7%	50,0%	12
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISIMA Clermont-Ferrand										2852	10	10,0%	40,0%	8
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - ENSE3										1529	50	28,0%	20,0%	60
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - ENSIMAG										782	13	30,8%	38,5%	10
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Esisar										1887	2	0,0%	50,0%	6
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Pagora										2840	20	40,0%	25,0%	18
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Phelma (Physique Electronique Télécoms)										1229	30	16,7%	16,7%	35
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Grenoble INP - Phelma (Physique Matériaux Procédés)										1197	65	35,4%	26,2%	66
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	CPE LYON Electronique Informatique										3231	15	20,0%	26,7%	8
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSEM Nancy Energie										2652	28	32,1%	10,7%	24
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSEM Nancy Spécialité des systèmes numériques										2786	5	0,0%	40,0%	3
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSG Nancy										2717	12	8,3%	33,3%	10
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SUPMECA Paris										1748	15	20,0%	20,0%	20
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSGTI Pau - Génie des Procédés										3120	14	7,1%	71,4%	12
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ISAE-ENSMA Poitiers										1365	27	22,2%	33,3%	28
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSI Poitiers Energie										3071	18	22,2%	33,3%	17
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Fonctionnaire										2101	4	25,0%	0,0%	4
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (apprenti)										3088	2	0,0%	50,0%	2
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENGEES Strasbourg Civil (étudiant)										2516	9	44,4%	22,2%	9
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	TELECOM PHYSIQUE Strasbourg										2164	20	25,0%	30,0%	31
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SeaTech Toulon										2483	20	35,0%	25,0%	16
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSEEIHT Toulouse Electronique et Traitement du Signal										1595	10	10,0%	20,0%	12
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSEEIHT Toulouse Génie Electrique et Automatique										1438	8	25,0%	12,5%	8
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSEEIHT Toulouse Hydraulique et Mécanique des Fluides										1227	17	29,4%	5,9%	16
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSEEIHT Toulouse Informatique et Mathématiques appliquées										827	3	66,7%	33,3%	2
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSEEIHT Toulouse Télécom.réseaux										1254	6	33,3%	33,3%	5
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSIACET Toulouse Génie des Procédés										2155	20	30,0%	20,0%	17
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	INP-ENSIACET Toulouse Génie Industriel										1907	11	36,4%	18,2%	10
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Civil										933	22	22,7%	22,7%	19
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENAC Toulouse Fonctionnaire										301	4	0,0%	25,0%	4
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSIAME Valenciennes Méca Energ.										2952	19	26,3%	31,6%	20
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	ENSIAME Valenciennes Mécatronique										3038	6	16,7%	16,7%	5
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Concours Commun Polytechnique PC-Physique	4847	34,7%	21,8%	3740	34,7%	23,7%	3250	36,3%	24,2%		596			608
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Bordeaux INP - ENSCBP Chimie-Génie physique										1777	43	53,5%	20,9%	45
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSICAEN Mat. et Chimie										2598	26	65,4%	46,2%	30
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	SIGMA Clermont-Ferrand (ex ENSCCF)										2373	37	43,2%	43,2%	36
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Lille										1906	37	62,2%	24,3%	40
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	CPE LYON Chimie										2648	28	53,6%	14,3%	45
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Montpellier										971	53	56,6%	18,9%	60
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSC Mulhouse										2420	33	45,5%	27,3%	40
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSIC Nancy										2268	40	45,0%	25,0%	45
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Chimie ParisTech										452	69	40,6%	27,5%	65
2017	PC	CCP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	ENSI Poitiers Eau et Genie Civil										2980	18	44,4%	38,9%	21
