ville,etablissement,inscrits,dont filles,admissibles,dont filles,classes,dont filles,integres,dont filles
Aix-En-Provence,Lycée Vauvenargues (0130003H),10,1,0,0,0,0,0,0
Ajaccio,Lycée Laetitia Bonaparte (6200002H),1,1,0,0,0,0,0,0
Angers,Lycée Chevrollier (0490003M),3,1,0,0,0,0,0,0
Argonay,Lycée Louis Lachenal (0740006E),3,0,1,0,1,0,1,0
Armentières,Lycée Gustave Eiffel (0590011S),3,1,0,0,0,0,0,0
Aubervilliers,Lycée Le Corbusier (0930117X),7,0,0,0,0,0,0,0
Avignon,Lycée Philippe de Girard (0840005Z),4,0,0,0,0,0,0,0
Belfort,Lycée Raoul Follereau (0900004R),1,0,0,0,0,0,0,0
Besançon,Lycée Jules Haag (0250011B),6,0,0,0,0,0,0,0
Bordeaux,Lycée Gustave Eiffel (0330028B),16,0,0,0,0,0,0,0
Brest,Lycée La Croix Rouge (0290335G),1,0,1,0,1,0,1,0
Brest,Lycée Vauban (0290012F),2,0,0,0,0,0,0,0
Cachan,Lycée Gustave Eiffel (0940111K),12,0,0,0,0,0,0,0
Caen,Lycée Jules Dumont d'Urville (0142131R),3,0,0,0,0,0,0,0
Châlons-en-Champagne,Lycée Etienne Oehmichen (0510007F),1,0,1,0,0,0,0,0
Chalon-Sur-Saône,Lycée Nicephore Niepce (0710012C),1,0,0,0,0,0,0,0
Champagne-Sur-Seine,Lycée La Fayette (0770920G),3,0,0,0,0,0,0,0
Champigny-Sur-Marne,Lycée Langevin-Wallon (0940113M),5,0,0,0,0,0,0,0
Clichy,Lycée Newton-Enrea (0920136Y),1,1,0,0,0,0,0,0
Cluny,Lycée La Prat's (0710023P),3,1,0,0,0,0,0,0
Dijon,Lycée Gustave Eiffel (0211033J),2,0,0,0,0,0,0,0
Grenoble,Lycée Vaucanson (0380033E),15,0,0,0,0,0,0,0
Le Havre,Lycée Robert Schuman (0760058A),3,0,0,0,0,0,0,0
Le Mans,Lycée Gabriel Touchard (0720033V),3,0,0,0,0,0,0,0
Les Abymes,Lycée Charles Coeffin (9710004C),3,0,0,0,0,0,0,0
Lille,Lycée César Baggio (0590121L),5,2,0,0,0,0,0,0
Limoges,Lycée Turgot (0870056N),3,1,0,0,0,0,0,0
Lyon,Lycée La Martiniere Monplaisir (0692866R),10,0,0,0,0,0,0,0
Marseille,Lycée Jean Perrin (0130053M),19,4,2,0,1,0,1,0
Massy,Lycée Parc de Vilgenis (0910727W),5,0,0,0,0,0,0,0
Metz,Lycée Louis De Cormontaigne (0573227Y),1,0,0,0,0,0,0,0
Montluçon,Lycée Paul Constans (0030026M),2,1,1,1,1,1,1,1
Montpellier,Lycée Jean Mermoz (0340042L),10,2,1,0,1,0,1,0
Nancy,Lycée Henri Loritz (0540042C),1,0,0,0,0,0,0,0
Nantes,Lycée Eugène Livet (0440029T),12,3,3,0,2,0,1,0
Nevers,Lycée Jules Renard (0580031U),5,0,0,0,0,0,0,0
Nice,LGT Les Eucalyptus (0060075Z),15,3,0,0,0,0,0,0
Nimes,Lycée Dhuoda (0300026R),1,0,0,0,0,0,0,0
Nogent sur Oise,Lycée Marie Curie (0600020W),5,0,0,0,0,0,0,0
NOUMEA,Lycée Jules Garnier (9830003L),2,0,1,0,1,0,1,0
Orléans,Lycée Benjamin Franklin (0450051L),1,0,0,0,0,0,0,0
Paris,Lycée Raspail (0750691U),7,1,0,0,0,0,0,0
Paris,Lycée Voltaire (0750675B),7,2,0,0,0,0,0,0
Paris 8e,Lycée Chaptal (0750663N),12,0,0,0,0,0,0,0
Paris 11e,Lycée Dorian (0750676C),7,0,0,0,0,0,0,0
Paris 16e,Lycée Jean-Baptiste Say (0750700D),32,3,4,0,1,0,1,0
Poitiers,Lycée Louis Armand (0860037Y),1,0,0,0,0,0,0,0
Rennes,Lycée Joliot-Curie (0350029S),7,2,1,1,1,1,0,0
Rouen,Lycée Blaise Pascal (0760095R),3,0,0,0,0,0,0,0
Sainte-Clotilde,Lycée Lislet-Geoffroy (9740054R),4,1,0,0,0,0,0,0
Saint-Etienne,Lycée Etienne Mimard (0420046X),6,1,0,0,0,0,0,0
Saint-Sylvain-D'Anjou,Lycée St Julien La Baronnerie (0490888Z),2,0,0,0,0,0,0,0
Strasbourg,Lycée Louis Couffignal (0670085D),2,0,1,0,1,0,1,0
Tarbes,Lycée Jean Dupuy (0650027B),5,1,0,0,0,0,0,0
Thiers,Lycée Jean Zay (0630069H),3,0,0,0,0,0,0,0
Toulon,Lycée Rouvière (0830056K),5,0,1,0,1,0,1,0
Toulouse,Lycée Déodat de Séverac (0310044E),7,1,0,0,0,0,0,0
Valenciennes,Lycée Du Hainaut (0590223X),5,1,0,0,0,0,0,0
Vannes,Lycée Alain René Lesage (0560051B),6,1,0,0,0,0,0,0
Versailles,Lycée Jules Ferry (0782565P),18,3,2,0,0,0,0,0
